example_id                                                                  | status  | run_time        |
./spec/api/container_api_spec.rb[1:1:1:2]                                   | passed  | 0.57624 seconds |
./spec/api/delayed_job_api_spec.rb[1:1:1:1]                                 | passed  | 0.10681 seconds |
./spec/api/delayed_job_api_spec.rb[1:1:1:2]                                 | pending | 0.00001 seconds |
./spec/api/delayed_job_api_spec.rb[1:1:1:3]                                 | passed  | 0.09498 seconds |
./spec/api/element_api_spec.rb[1:1:1:1]                                     | passed  | 0.71473 seconds |
./spec/api/gate_api_spec.rb[1:2:1]                                          | passed  | 0.12311 seconds |
./spec/api/gate_api_spec.rb[1:3:1:1]                                        | passed  | 0.12585 seconds |
./spec/api/helpers_spec.rb[1:1:1]                                           | passed  | 0.37531 seconds |
./spec/api/helpers_spec.rb[1:1:2]                                           | passed  | 0.31763 seconds |
./spec/api/helpers_spec.rb[1:1:3]                                           | passed  | 0.32099 seconds |
./spec/api/helpers_spec.rb[1:2:1]                                           | passed  | 0.10517 seconds |
./spec/api/helpers_spec.rb[1:2:2]                                           | passed  | 0.3597 seconds  |
./spec/api/helpers_spec.rb[1:2:3]                                           | passed  | 0.39465 seconds |
./spec/api/helpers_spec.rb[1:2:4]                                           | passed  | 0.36836 seconds |
./spec/api/icon_nmr_api_spec.rb[1:1:1:1]                                    | unknown |                 |
./spec/api/inbox_api_spec.rb[1:1:1:1:1]                                     | passed  | 1.93 seconds    |
./spec/api/inbox_api_spec.rb[1:1:1:2:1:1]                                   | passed  | 1.02 seconds    |
./spec/api/literature_api_spec.rb[1:1:1:1:1]                                | passed  | 0.18533 seconds |
./spec/api/literature_api_spec.rb[1:1:1:1:2]                                | passed  | 0.18482 seconds |
./spec/api/literature_api_spec.rb[1:1:2:1:1]                                | passed  | 0.22145 seconds |
./spec/api/literature_api_spec.rb[1:1:2:1:2]                                | passed  | 0.35239 seconds |
./spec/api/message_api_spec.rb[1:1:1:1]                                     | passed  | 0.40764 seconds |
./spec/api/message_api_spec.rb[1:1:2:1]                                     | passed  | 0.34899 seconds |
./spec/api/molecule_api_spec.rb[1:1:1:1:1]                                  | passed  | 0.13037 seconds |
./spec/api/molecule_api_spec.rb[1:1:2:1]                                    | pending | 0.00001 seconds |
./spec/api/molecule_api_spec.rb[1:1:3:1]                                    | passed  | 0.12183 seconds |
./spec/api/permission_api_spec.rb[1:1:1:1]                                  | passed  | 0.43563 seconds |
./spec/api/private_note_api.spec.rb[1:1:1:1]                                | passed  | 0.45288 seconds |
./spec/api/private_note_api.spec.rb[1:1:2:1:1]                              | passed  | 0.45496 seconds |
./spec/api/private_note_api.spec.rb[1:1:2:2:1]                              | passed  | 0.47538 seconds |
./spec/api/private_note_api.spec.rb[1:1:2:3:1]                              | passed  | 0.59107 seconds |
./spec/api/private_note_api.spec.rb[1:1:2:4:1]                              | passed  | 0.47679 seconds |
./spec/api/private_note_api.spec.rb[1:1:2:5:1]                              | passed  | 0.5859 seconds  |
./spec/api/private_note_api.spec.rb[1:1:2:6:1]                              | passed  | 0.47498 seconds |
./spec/api/private_note_api.spec.rb[1:1:3:1]                                | passed  | 0.47827 seconds |
./spec/api/private_note_api.spec.rb[1:2:1:1]                                | passed  | 1.46 seconds    |
./spec/api/private_note_api.spec.rb[1:2:1:2]                                | passed  | 0.48069 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:1:1]                              | passed  | 0.48241 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:2:1]                              | passed  | 0.45725 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:2:2]                              | passed  | 0.47887 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:3:1]                              | passed  | 0.48026 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:3:2]                              | passed  | 0.47679 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:4:1]                              | passed  | 0.48223 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:4:2]                              | passed  | 0.5963 seconds  |
./spec/api/private_note_api.spec.rb[1:2:2:5:1]                              | passed  | 0.58947 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:5:2]                              | passed  | 0.47633 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:6:1]                              | passed  | 0.45477 seconds |
./spec/api/private_note_api.spec.rb[1:2:2:6:2]                              | passed  | 0.48424 seconds |
./spec/api/private_note_api.spec.rb[1:2:3:1:1]                              | passed  | 0.59159 seconds |
