Onthology ID;Ontology Name;Custom Name;Full Link;Parent;
CHMO:0002261;CHMO: weak-cation-exchange chromatography;;http://purl.obolibrary.org/obo/CHMO_0002261;;
CHMO:0001269;CHMO: short-column chromatography;;http://purl.obolibrary.org/obo/CHMO_0001269;;
CHMO:0002280;CHMO: ion-pair chromatography;;http://purl.obolibrary.org/obo/CHMO_0002280;;
CHMO:0002402;CHMO: elution chromatography;;http://purl.obolibrary.org/obo/CHMO_0002402;;
CHMO:0002303;CHMO: gradient-elution chromatography;;http://purl.obolibrary.org/obo/CHMO_0002303;;
CHMO:0002304;CHMO: isocratic-elution chromatography;;http://purl.obolibrary.org/obo/CHMO_0002304;;
CHMO:0002305;CHMO: step-wise elution chromatography;;http://purl.obolibrary.org/obo/CHMO_0002305;;
CHMO:0001005;CHMO: planar chromatography;;http://purl.obolibrary.org/obo/CHMO_0001005;;
CHMO:0001008;CHMO: paper chromatography;;http://purl.obolibrary.org/obo/CHMO_0001008;;
CHMO:0001049;CHMO: capillary liquid chromatography;;http://purl.obolibrary.org/obo/CHMO_0001049;;
CHMO:0001128;CHMO: adsorption chromatography;;http://purl.obolibrary.org/obo/CHMO_0001128;;
CHMO:0001129;CHMO: displacement chromatography;;http://purl.obolibrary.org/obo/CHMO_0001129;;
CHMO:0001276;CHMO: size-exclusion chromatography-high performance liquid chromatography;;http://purl.obolibrary.org/obo/CHMO_0001276;;
CHMO:0002302;CHMO: reversed-phase chromatography;;http://purl.obolibrary.org/obo/CHMO_0002302;;
CHMO:0001050;CHMO: reversed-phase liquid chromatography;;http://purl.obolibrary.org/obo/CHMO_0001050;;
CHMO:0002401;CHMO: normal-phase chromatography;;http://purl.obolibrary.org/obo/CHMO_0002401;;
CHMO:0002403;CHMO: partition chromatography;;http://purl.obolibrary.org/obo/CHMO_0002403;;
CHMO:0002698;CHMO: chiral chromatography;;http://purl.obolibrary.org/obo/CHMO_0002698;;
CHMO:0002697;CHMO: chiral supercritical-fluid chromatography;;http://purl.obolibrary.org/obo/CHMO_0002697;;
CHMO:0002874;CHMO: ion chromatography;;http://purl.obolibrary.org/obo/CHMO_0002874;;
CHMO:0002875;CHMO: two-dimensional ion chromatography;;http://purl.obolibrary.org/obo/CHMO_0002875;;
CHMO:0002890;CHMO: sequential injection chromatography;;http://purl.obolibrary.org/obo/CHMO_0002890;;
CHMO:0002924;CHMO: graphitized carbon liquid chromatography;;http://purl.obolibrary.org/obo/CHMO_0002924;;
